Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-21,TridentCards Mansfield,"Queen St, Mansfield, England, NG18 1JN, GB",NG18 1JN,20,16,1h 17m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Queen%20St%2C%20Mansfield%2C%20England%2C%20NG18%201JN%2C%20GB,https://tcg.ravensburgerplay.com/events/599482,https://tcg.ravensburgerplay.com/events/453299,£10.00,2026-06-15T00:21:55.870454
2026-06-21,Travelling Man Leeds,"32 Central Road, Leeds, England, ls1 6de, GB",LS1 6DE,24,8,2h 14m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=32%20Central%20Road%2C%20Leeds%2C%20England%2C%20ls1%206de%2C%20GB,https://tcg.ravensburgerplay.com/events/604401,https://tcg.ravensburgerplay.com/events/383277,£15.00,2026-06-15T00:21:56.468924
2026-06-21,Gordian Knot Games Ltd,"Town Pier Square, Gravesend, England, DA11 0BJ, GB",DA11 0BJ,12,8,2h 47m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Town%20Pier%20Square%2C%20Gravesend%2C%20England%2C%20DA11%200BJ%2C%20GB,https://tcg.ravensburgerplay.com/events/683687,https://tcg.ravensburgerplay.com/events/469669,£0.00,2026-06-15T00:21:58.931630
2026-06-21,A Fistful of Dice,"69 Elm Grove, Southsea, England, PO5 1JF, GB",PO5 1JF,16,12,3h 0m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=69%20Elm%20Grove%2C%20Southsea%2C%20England%2C%20PO5%201JF%2C%20GB,https://tcg.ravensburgerplay.com/events/667653,https://tcg.ravensburgerplay.com/events/485382,£20.00,2026-06-15T00:21:59.443865
2026-06-21,Planet JJs Geekery,"11 Quarry Hill Parade, Kent, England, TN9 2HR, GB",TN9 2HR,8,8,3h 0m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=11%20Quarry%20Hill%20Parade%2C%20Kent%2C%20England%2C%20TN9%202HR%2C%20GB,https://tcg.ravensburgerplay.com/events/627913,https://tcg.ravensburgerplay.com/events/457692,£10.00,2026-06-15T00:22:01.337494
2026-06-21,Northumbrian Tin Soldier Limited,"21 West Percy Street, West Percy Street, North Shields, England, ne29 0dw, GB",NE29 0DW,6,8,3h 52m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=21%20West%20Percy%20Street%2C%20West%20Percy%20Street%2C%20North%20Shields%2C%20England%2C%20ne29%200dw%2C%20GB,https://tcg.ravensburgerplay.com/events/605111,https://tcg.ravensburgerplay.com/events/434959,£15.00,2026-06-15T00:22:00.717521
2026-06-21,Castle Comics UK ltd,"Princes Mall, East Kilbride, Scotland, G74 1LB, GB",G74 1LB,18,12,5h 10m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Princes%20Mall%2C%20East%20Kilbride%2C%20Scotland%2C%20G74%201LB%2C%20GB,https://tcg.ravensburgerplay.com/events/683505,https://tcg.ravensburgerplay.com/events/323889,£15.00,2026-06-15T00:21:58.309390
2026-06-21,Knightly Gaming,"2-6 Hopetoun Street, Bathgate, Scotland, EH48 4EU, GB",EH48 4EU,16,18,5h 22m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=2-6%20Hopetoun%20Street%2C%20Bathgate%2C%20Scotland%2C%20EH48%204EU%2C%20GB,https://tcg.ravensburgerplay.com/events/526125,https://tcg.ravensburgerplay.com/events/483545,£16.00,2026-06-15T00:21:55.202490
2026-06-21,Replay,"97 High Street, Bangor, Northern Ireland, bt20 5bd, GB",BT20 5BD,9,13,8h 50m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=97%20High%20Street%2C%20Bangor%2C%20Northern%20Ireland%2C%20bt20%205bd%2C%20GB,https://tcg.ravensburgerplay.com/events/567716,https://tcg.ravensburgerplay.com/events/434769,£20.00,2026-06-15T00:22:00.107348

