Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-28,Robins Hobby Cafe,"9, Queens Rd, Belfast, Northern Ireland, BT3 9DT, GB",BT3 9DT,12,12,9h 55m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=9%2C%20Queens%20Rd%2C%20Belfast%2C%20Northern%20Ireland%2C%20BT3%209DT%2C%20GB,https://tcg.ravensburgerplay.com/events/558627,https://tcg.ravensburgerplay.com/events/387053,£15.00,2026-06-15T00:22:32.255820

2026-07-04,Players Paradice,"19, St John's Terrace, Newport Pagnell, England, MK16 8HE, GB",MK16 8HE,6,18,25m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=19%2C%20St%20John%27s%20Terrace%2C%20Newport%20Pagnell%2C%20England%2C%20MK16%208HE%2C%20GB,https://tcg.ravensburgerplay.com/events/594455,https://tcg.ravensburgerplay.com/events/430842,£15.00,2026-06-15T00:22:37.145443
2026-07-04,Dark Fire Cafe,"Unit 8, The Gavel Centre, Porters Wood, Hertfordshire, England, AL3 6PQ, GB",AL3 6PQ,9,11,34m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Unit%208%2C%20The%20Gavel%20Centre%2C%20Porters%20Wood%2C%20Hertfordshire%2C%20England%2C%20AL3%206PQ%2C%20GB,https://tcg.ravensburgerplay.com/events/586038,https://tcg.ravensburgerplay.com/events/308917,£7.50,2026-06-15T00:22:42.937852
2026-07-04,Geek Retreat Kettering,"10-12 High Street, Kettering, England, NN16 8ST, GB",NN16 8ST,10,9,59m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=10-12%20High%20Street%2C%20Kettering%2C%20England%2C%20NN16%208ST%2C%20GB,https://tcg.ravensburgerplay.com/events/625159,https://tcg.ravensburgerplay.com/events/440043,£10.00,2026-06-15T00:22:39.758192
2026-07-04,The Brotherhood Games Ltd,"210-212 Southwark Park Rd., London, England, SE16 3RW, GB",SE16 3RW,11,27,1h 26m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=210-212%20Southwark%20Park%20Rd.%2C%20London%2C%20England%2C%20SE16%203RW%2C%20GB,https://tcg.ravensburgerplay.com/events/580489,https://tcg.ravensburgerplay.com/events/410971,£20.00,2026-06-15T00:22:38.689891
2026-07-04,Geek Retreat Birmingham,"18 Hall Street, Birmingham, England, B18 6BS, GB",B18 6BS,15,8,1h 35m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=18%20Hall%20Street%2C%20Birmingham%2C%20England%2C%20B18%206BS%2C%20GB,https://tcg.ravensburgerplay.com/events/685914,https://tcg.ravensburgerplay.com/events/449045,£6.00,2026-06-15T00:22:39.181588
2026-07-04,Silvermine,"Holliday St, Birmingham B1 1TJ, UK",B1 1TJ,16,N/A,1h 37m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Holliday%20St%2C%20Birmingham%20B1%201TJ%2C%20UK,https://tcg.ravensburgerplay.com/events/720353,,£30.00,2026-06-26T18:22:57.583599
2026-07-04,Jack in a Box,"1a High Street, 1 Barclay Building, High Street, Ripley, England, DE5 3AA, GB",DE5 3AA,16,14,1h 58m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=1a%20High%20Street%2C%201%20Barclay%20Building%2C%20High%20Street%2C%20Ripley%2C%20England%2C%20DE5%203AA%2C%20GB,https://tcg.ravensburgerplay.com/events/547776,https://tcg.ravensburgerplay.com/events/446583,£12.50,2026-06-15T00:22:40.397125
2026-07-04,Tritex Games Ltd,"Newport Road, Staffordshire, England, ST16 1BG, GB",ST16 1BG,10,8,2h 2m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Newport%20Road%2C%20Staffordshire%2C%20England%2C%20ST16%201BG%2C%20GB,https://tcg.ravensburgerplay.com/events/714094,https://tcg.ravensburgerplay.com/events/331613,£18.00,2026-06-24T11:32:44.124332
2026-07-04,Dice & Destiny,"79 Northgate, Canterbury, CT1 1BA, GB",CT1 1BA,6,22,2h 9m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=79%20Northgate%2C%20Canterbury%2C%20CT1%201BA%2C%20GB,https://tcg.ravensburgerplay.com/events/588979,https://tcg.ravensburgerplay.com/events/427403,£10.00,2026-06-15T00:22:38.177215
2026-07-04,The Game Room,"3, Spur Rd, Chichester, England, PO19 8PN, GB",PO19 8PN,9,N/A,2h 9m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=3%2C%20Spur%20Rd%2C%20Chichester%2C%20England%2C%20PO19%208PN%2C%20GB,https://tcg.ravensburgerplay.com/events/722805,,£5.00,2026-06-27T15:41:56.479044
2026-07-04,Grim Dice Tabletop Gaming,"21 Wellowgate, Grimsby, England, DN32 0RA, GB",DN32 0RA,1,8,2h 58m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=21%20Wellowgate%2C%20Grimsby%2C%20England%2C%20DN32%200RA%2C%20GB,https://tcg.ravensburgerplay.com/events/607552,https://tcg.ravensburgerplay.com/events/437153,£5.00,2026-06-15T00:22:36.001052
2026-07-04,Last Stand Games,"47, Market Pl, South Cave, England, HU15 2BS, GB",HU15 2BS,8,N/A,3h 2m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=47%2C%20Market%20Pl%2C%20South%20Cave%2C%20England%2C%20HU15%202BS%2C%20GB,https://tcg.ravensburgerplay.com/events/634634,,£15.00,2026-06-15T00:22:42.399702
2026-07-04,The Gamers Lodge,"61 Kempston St, Liverpool, England, L3 8ET, GB",L3 8ET,14,14,3h 16m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=61%20Kempston%20St%2C%20Liverpool%2C%20England%2C%20L3%208ET%2C%20GB,https://tcg.ravensburgerplay.com/events/568392,https://tcg.ravensburgerplay.com/events/389632,£25.00,2026-06-15T00:22:40.997284
2026-07-04,Union County Games Ltd,"21, Whipton Village Rd, Whipton, England, EX4 8AN, GB",EX4 8AN,17,22,3h 54m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=21%2C%20Whipton%20Village%20Rd%2C%20Whipton%2C%20England%2C%20EX4%208AN%2C%20GB,https://tcg.ravensburgerplay.com/events/574954,https://tcg.ravensburgerplay.com/events/444067,£20.00,2026-06-15T00:22:35.353772
2026-07-04,Chester Le Geek,"98, Front St, Chester-le-Street, England, DH3 3BA, GB",DH3 3BA,8,8,4h 20m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=98%2C%20Front%20St%2C%20Chester-le-Street%2C%20England%2C%20DH3%203BA%2C%20GB,https://tcg.ravensburgerplay.com/events/694888,https://tcg.ravensburgerplay.com/events/330265,£25.00,2026-06-16T11:57:46.002289
2026-07-04,Get Decked Games,"63, South Bridge St, Airdrie, Scotland, ML6 6JH, GB",ML6 6JH,20,15,6h 37m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=63%2C%20South%20Bridge%20St%2C%20Airdrie%2C%20Scotland%2C%20ML6%206JH%2C%20GB,https://tcg.ravensburgerplay.com/events/525626,https://tcg.ravensburgerplay.com/events/274762,£8.00,2026-06-15T00:22:37.660424
2026-07-04,Highlander Games Ltd,"102 Annfield Road, 102, Dundee, Scotland, DD1 5JH, GB",DD1 5JH,4,8,7h 55m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=102%20Annfield%20Road%2C%20102%2C%20Dundee%2C%20Scotland%2C%20DD1%205JH%2C%20GB,https://tcg.ravensburgerplay.com/events/604450,https://tcg.ravensburgerplay.com/events/278673,£15.00,2026-06-15T00:22:41.620197
