Date,Type,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-09-26,Attack of the Vines,Angle Gaming Lounge,"939 Lincoln Road, Peterborough, England, pe4 6af, GB",PE4 6AF,1,8,1h 42m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=939%20Lincoln%20Road%2C%20Peterborough%2C%20England%2C%20pe4%206af%2C%20GB,https://tcg.ravensburgerplay.com/events/720040,https://tcg.ravensburgerplay.com/events/483033,£10.00,2026-07-10T21:42:02.282179
2026-09-26,Attack of the Vines,Entoyment Hobby and Games Centre,"27-29 Harwell Road, Nuffield Industrial Estate, Poole, Dorset, BH17 0GE, GB",BH17 0GE,1,16,2h 23m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=27-29%20Harwell%20Road%2C%20Nuffield%20Industrial%20Estate%2C%20Poole%2C%20Dorset%2C%20BH17%200GE%2C%20GB,https://tcg.ravensburgerplay.com/events/713935,https://tcg.ravensburgerplay.com/events/517524,£15.00,2026-07-10T21:41:59.275124
2026-09-26,Attack of the Vines,Lazy Dragon Gaming,"231, Dickson Rd, Blackpool, England, FY1 2JH, GB",FY1 2JH,6,18,3h 59m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=231%2C%20Dickson%20Rd%2C%20Blackpool%2C%20England%2C%20FY1%202JH%2C%20GB,https://tcg.ravensburgerplay.com/events/733284,https://tcg.ravensburgerplay.com/events/487790,£0.00,2026-07-10T21:42:01.690970
2026-09-26,Attack of the Vines,Mad for Miniatures Ltd,"Market Hill, St Austell, England, PL25 5QB, GB",PL25 5QB,11,27,4h 55m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=Market%20Hill%2C%20St%20Austell%2C%20England%2C%20PL25%205QB%2C%20GB,https://tcg.ravensburgerplay.com/events/755349,https://tcg.ravensburgerplay.com/events/577826,£10.00,2026-07-10T21:42:00.882018
2026-09-26,Attack of the Vines,Troll Trader Truro,"The Leats, The Leats, Truro, England, TR1 3AG, GB",TR1 3AG,8,8,5h 6m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=The%20Leats%2C%20The%20Leats%2C%20Truro%2C%20England%2C%20TR1%203AG%2C%20GB,https://tcg.ravensburgerplay.com/events/720054,https://tcg.ravensburgerplay.com/events/363487,£15.00,2026-07-10T21:42:00.314321

2026-09-27,Attack of the Vines,Wargames Workshop MK,"18 Winchester Circle, Milton Keynes, Milton Keynes, England, MK10 0BA, GB",MK10 0BA,0,20,32m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=18%20Winchester%20Circle%2C%20Milton%20Keynes%2C%20Milton%20Keynes%2C%20England%2C%20MK10%200BA%2C%20GB,https://tcg.ravensburgerplay.com/events/739220,https://tcg.ravensburgerplay.com/events/594480,£15.00,2026-07-10T21:42:03.304707
2026-09-27,Attack of the Vines,Nerd Base,"Knightswick Road, Canvey Island, England, SS8 7AD, GB",SS8 7AD,0,14,1h 34m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=Knightswick%20Road%2C%20Canvey%20Island%2C%20England%2C%20SS8%207AD%2C%20GB,https://tcg.ravensburgerplay.com/events/742088,https://tcg.ravensburgerplay.com/events/567507,£0.00,2026-07-10T21:42:02.776017
2026-09-27,Attack of the Vines,Game Guru (Utilita Arena),"King Edwards Rd, Birmingham, England, B1 2AA, GB",B1 2AA,16,16,1h 48m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=King%20Edwards%20Rd%2C%20Birmingham%2C%20England%2C%20B1%202AA%2C%20GB,https://tcg.ravensburgerplay.com/events/709844,https://tcg.ravensburgerplay.com/events/585900,£20.00,2026-07-10T21:42:04.976502
2026-09-27,Attack of the Vines,Geek Retreat Dudley,"195 High Street, Dudley, West Midlands, DY1 1QE, GB",DY1 1QE,10,15,1h 51m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=195%20High%20Street%2C%20Dudley%2C%20West%20Midlands%2C%20DY1%201QE%2C%20GB,https://tcg.ravensburgerplay.com/events/760826,https://tcg.ravensburgerplay.com/events/609862,£7.00,2026-07-10T21:42:04.271264
2026-09-27,Attack of the Vines,JustPlay,"61 Tithebarn Street, Liverpool, England, L2 2SB, GB",L2 2SB,1,10,3h 29m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=61%20Tithebarn%20Street%2C%20Liverpool%2C%20England%2C%20L2%202SB%2C%20GB,https://tcg.ravensburgerplay.com/events/727161,https://tcg.ravensburgerplay.com/events/607425,£19.00,2026-07-10T21:42:03.751705
